 Cycle Period  Scenario      SoldDA      SoldRT
   191      1         1        0.00        0.00
   191      1         2        0.00        0.00
   191      1         3        0.00        0.00
   191      1         4        0.00        0.00
   191      1         5        0.00        0.00
   191      1         6        0.00        0.00
   191      1         7        0.00        0.00
   191      1         8        0.00        0.00
   191      1         9        0.00        0.00
   191      1        10        0.00        0.00
   191      1        11        0.00        0.00
   191      1        12        0.00        0.00
   191      1        13        0.00        0.00
   191      1        14        0.00        0.00
   191      1        15        0.00        0.00
   191      2         1        0.00        0.00
   191      2         2        0.00        0.00
   191      2         3        0.00        0.00
   191      2         4        0.00        0.00
   191      2         5        0.00        0.00
   191      2         6        0.00        0.00
   191      2         7        0.00        0.00
   191      2         8        0.00        0.00
   191      2         9        0.00        0.00
   191      2        10        0.00        0.00
   191      2        11        0.00        0.00
   191      2        12        0.00        0.00
   191      2        13        0.00        0.00
   191      2        14        0.00        0.00
   191      2        15        0.00        0.00
   191      3         1        0.00        0.00
   191      3         2        0.00        0.00
   191      3         3        0.00        0.00
   191      3         4        0.00        0.00
   191      3         5        0.00        0.00
   191      3         6        0.00        0.00
   191      3         7        0.00        0.00
   191      3         8        0.00        0.00
   191      3         9        0.00        0.00
   191      3        10        0.00        0.00
   191      3        11        0.00        0.00
   191      3        12        0.00        0.00
   191      3        13        0.00        0.00
   191      3        14        0.00        0.00
   191      3        15        0.00        0.00
   191      4         1        0.00        0.00
   191      4         2        0.00        0.00
   191      4         3        0.00        0.00
   191      4         4        0.00        0.00
   191      4         5        0.00        0.00
   191      4         6        0.00        0.00
   191      4         7        0.00        0.00
   191      4         8        0.00        0.00
   191      4         9        0.00        0.00
   191      4        10        0.00        0.00
   191      4        11        0.00        0.00
   191      4        12        0.00        0.00
   191      4        13        0.00        0.00
   191      4        14        0.00        0.00
   191      4        15        0.00        0.00
   191      5         1        0.00        0.00
   191      5         2        0.00        0.00
   191      5         3        0.00        0.00
   191      5         4        0.00        0.00
   191      5         5        0.00        0.00
   191      5         6        0.00        0.00
   191      5         7        0.00        0.00
   191      5         8        0.00        0.00
   191      5         9        0.00        0.00
   191      5        10        0.00        0.00
   191      5        11        0.00        0.00
   191      5        12        0.00        0.00
   191      5        13        0.00        0.00
   191      5        14        0.00        0.00
   191      5        15        0.00        0.00
   191      6         1        0.00        0.00
   191      6         2        0.00        0.00
   191      6         3        0.00        0.00
   191      6         4        0.00        0.00
   191      6         5        0.00        0.00
   191      6         6        0.00        0.00
   191      6         7        0.00        0.00
   191      6         8        0.00        2.64
   191      6         9        0.00        0.00
   191      6        10        0.00        0.00
   191      6        11        0.00        0.00
   191      6        12        0.00        0.00
   191      6        13        0.00        0.00
   191      6        14        0.00        0.00
   191      6        15        0.00        0.00
   191      7         1        0.00        0.00
   191      7         2        0.00        0.00
   191      7         3        0.00        0.00
   191      7         4        0.00        0.00
   191      7         5        0.00        0.00
   191      7         6        0.00        0.00
   191      7         7        0.00        0.00
   191      7         8        0.00        0.00
   191      7         9        0.00        0.00
   191      7        10        0.00        0.00
   191      7        11        0.00        0.00
   191      7        12        0.00        0.00
   191      7        13        0.00        0.00
   191      7        14        0.00        0.00
   191      7        15        0.00        3.59
   191      8         1        0.00        0.00
   191      8         2        0.00        0.00
   191      8         3        0.00        0.00
   191      8         4        0.00        9.14
   191      8         5        0.00        0.00
   191      8         6        0.00        0.00
   191      8         7        0.00        0.00
   191      8         8        0.00        4.17
   191      8         9        0.00        0.00
   191      8        10        0.00        0.00
   191      8        11        0.00        0.00
   191      8        12        0.00        9.14
   191      8        13        0.00        0.00
   191      8        14        0.00        0.00
   191      8        15        0.00        0.00
   191      9         1        0.00        5.51
   191      9         2        0.00        0.00
   191      9         3        0.00        0.00
   191      9         4        0.00        4.72
   191      9         5        0.00        0.00
   191      9         6        0.00       11.01
   191      9         7        0.00        0.00
   191      9         8        0.00        0.00
   191      9         9        0.00        0.00
   191      9        10        0.00        0.00
   191      9        11        0.00        5.51
   191      9        12        0.00        0.00
   191      9        13        0.00        0.00
   191      9        14        0.00        0.00
   191      9        15        0.00        0.00
   191     10         1        6.92       14.99
   191     10         2        8.04       15.32
   191     10         3       34.02        0.00
   191     10         4        0.00       27.08
   191     10         5       19.75        0.00
   191     10         6        0.00       29.51
   191     10         7       10.59       23.43
   191     10         8        0.00        0.00
   191     10         9       22.76       11.26
   191     10        10        0.00        0.00
   191     10        11       17.08       14.83
   191     10        12       13.85       15.66
   191     10        13        3.36       16.39
   191     10        14       15.30        1.71
   191     10        15        0.00       12.59
   191     11         1       28.22        0.00
   191     11         2        0.00       30.65
   191     11         3        8.62       18.92
   191     11         4        0.00       14.82
   191     11         5       30.68        1.03
   191     11         6        0.00       23.14
   191     11         7        0.00       27.53
   191     11         8       27.22        6.27
   191     11         9        0.00       10.47
   191     11        10        2.22       31.29
   191     11        11       24.23        0.88
   191     11        12        7.43        1.62
   191     11        13        0.23       21.53
   191     11        14       29.83        3.07
   191     11        15       31.70        0.00
   191     12         1        8.01       12.92
   191     12         2       22.84        0.00
   191     12         3        0.00       20.39
   191     12         4       12.28        5.14
   191     12         5        1.71       21.97
   191     12         6        0.00       16.92
   191     12         7       11.78        8.61
   191     12         8       13.27       12.46
   191     12         9        2.83       22.90
   191     12        10        0.00       31.70
   191     12        11        7.53        0.00
   191     12        12        0.00       21.34
   191     12        13        0.00       26.79
   191     12        14       20.49        4.56
   191     12        15       13.56       10.11
   636      1         1        0.00        0.00
   636      1         2        0.00        0.00
   636      1         3        0.00        0.00
   636      1         4        0.00        0.00
   636      1         5        0.00        0.00
   636      1         6        0.00        0.00
   636      1         7        0.00        0.00
   636      1         8        0.00        0.00
   636      1         9        0.00        0.00
   636      1        10        0.00        0.00
   636      1        11        0.00        0.00
   636      1        12        0.00        0.00
   636      1        13        0.00        0.00
   636      1        14        0.00        0.00
   636      1        15        0.00        0.00
   636      2         1        0.00        0.00
   636      2         2        0.00        0.00
   636      2         3        0.00        0.00
   636      2         4        0.00        0.00
   636      2         5        0.00        0.00
   636      2         6        0.00        0.00
   636      2         7        0.00        0.00
   636      2         8        0.00        0.00
   636      2         9        0.00        0.00
   636      2        10        0.00        0.00
   636      2        11        0.00        0.00
   636      2        12        0.00        0.00
   636      2        13        0.00        0.00
   636      2        14        0.00        0.00
   636      2        15        0.00        0.00
   636      3         1        0.00        0.00
   636      3         2        0.00        0.00
   636      3         3        0.00        0.00
   636      3         4        0.00        0.00
   636      3         5        0.00        0.00
   636      3         6        0.00        0.00
   636      3         7        0.00        0.00
   636      3         8        0.00        0.00
   636      3         9        0.00        0.00
   636      3        10        0.00        0.00
   636      3        11        0.00        0.00
   636      3        12        0.00        0.00
   636      3        13        0.00        0.00
   636      3        14        0.00        0.00
   636      3        15        0.00        0.00
   636      4         1        0.00        0.00
   636      4         2        0.00        0.00
   636      4         3        0.00        0.00
   636      4         4        0.00        0.00
   636      4         5        0.00        0.00
   636      4         6        0.00        0.00
   636      4         7        0.00        0.00
   636      4         8        0.00        0.00
   636      4         9        0.00        0.00
   636      4        10        0.00        0.00
   636      4        11        0.00        0.00
   636      4        12        0.00        0.00
   636      4        13        0.00        0.00
   636      4        14        0.00        0.00
   636      4        15        0.00        0.00
   636      5         1        0.00        0.00
   636      5         2        0.00        0.00
   636      5         3        0.00        0.00
   636      5         4        0.00        0.00
   636      5         5        0.00        0.00
   636      5         6        0.00        0.00
   636      5         7        0.00        0.00
   636      5         8        0.00        0.00
   636      5         9        0.00        0.00
   636      5        10        0.00        0.00
   636      5        11        0.00        0.00
   636      5        12        0.00        0.00
   636      5        13        0.00        0.00
   636      5        14        0.00        0.00
   636      5        15        0.00        0.00
   636      6         1        0.00        0.00
   636      6         2        0.00        0.00
   636      6         3        0.00        0.00
   636      6         4        0.00        0.00
   636      6         5        0.00        0.00
   636      6         6        0.00        0.00
   636      6         7        0.00        0.00
   636      6         8        0.00        0.00
   636      6         9        0.00        0.00
   636      6        10        0.00        0.00
   636      6        11        0.00        0.00
   636      6        12        0.00        0.00
   636      6        13        0.00        0.00
   636      6        14        0.00        0.00
   636      6        15        0.00        0.00
   636      7         1        0.00        0.00
   636      7         2        0.00        0.00
   636      7         3        0.00        0.00
