 Cycle Period  Scenario   Power Gen   #Turbines
   191      1         1        0.00           0
   191      1         2        0.00           0
   191      1         3        0.00           0
   191      1         4        0.00           0
   191      1         5        0.00           0
   191      1         6        0.00           0
   191      1         7        0.00           0
   191      1         8        0.00           0
   191      1         9        0.00           0
   191      1        10        0.00           0
   191      1        11        0.00           0
   191      1        12        0.00           0
   191      1        13        0.00           0
   191      1        14        0.00           0
   191      1        15        0.00           0
   191      2         1        0.00           0
   191      2         2        0.00           0
   191      2         3        0.00           0
   191      2         4        0.00           0
   191      2         5        0.00           0
   191      2         6        0.00           0
   191      2         7        0.00           0
   191      2         8        0.00           0
   191      2         9        0.00           0
   191      2        10        0.00           0
   191      2        11        0.00           0
   191      2        12        0.00           0
   191      2        13        0.00           0
   191      2        14        0.00           0
   191      2        15        0.00           0
   191      3         1        0.00           0
   191      3         2        0.00           0
   191      3         3        0.00           0
   191      3         4        0.00           0
   191      3         5        0.00           0
   191      3         6        0.00           0
   191      3         7        0.00           0
   191      3         8        0.00           0
   191      3         9        0.00           0
   191      3        10        0.00           0
   191      3        11        0.00           0
   191      3        12        0.00           0
   191      3        13        0.00           0
   191      3        14        0.00           0
   191      3        15        0.00           0
   191      4         1        0.00           0
   191      4         2        0.00           0
   191      4         3        0.00           0
   191      4         4        0.00           0
   191      4         5        0.00           0
   191      4         6        0.00           0
   191      4         7        0.00           0
   191      4         8        0.00           0
   191      4         9        0.00           0
   191      4        10        0.00           0
   191      4        11        0.00           0
   191      4        12        0.00           0
   191      4        13        0.00           0
   191      4        14        0.00           0
   191      4        15        0.00           0
   191      5         1        0.00           0
   191      5         2        0.00           0
   191      5         3        0.00           0
   191      5         4        0.00           0
   191      5         5        0.00           0
   191      5         6        0.00           0
   191      5         7        0.00           0
   191      5         8        0.00           0
   191      5         9        0.00           0
   191      5        10        0.00           0
   191      5        11        0.00           0
   191      5        12        0.00           0
   191      5        13        0.00           0
   191      5        14        0.00           0
   191      5        15        0.00           0
   191      6         1        0.00           0
   191      6         2        0.00           0
   191      6         3        0.00           0
   191      6         4        0.00           0
   191      6         5        0.00           0
   191      6         6        0.00           0
   191      6         7        0.00           0
   191      6         8        0.00           0
   191      6         9        0.00           0
   191      6        10        0.00           0
   191      6        11        0.00           0
   191      6        12        0.00           0
   191      6        13        0.00           0
   191      6        14        0.00           0
   191      6        15        0.00           0
   191      7         1        0.00           0
   191      7         2        0.00           0
   191      7         3        0.00           0
   191      7         4        0.00           0
   191      7         5        0.00           0
   191      7         6        0.00           0
   191      7         7        0.00           0
   191      7         8        0.00           0
   191      7         9        0.00           0
   191      7        10        0.00           0
   191      7        11        0.00           0
   191      7        12        0.00           0
   191      7        13        0.00           0
   191      7        14        0.00           0
   191      7        15        0.00           0
   191      8         1        0.00           0
   191      8         2        9.14           1
   191      8         3        0.00           0
   191      8         4        0.00           0
   191      8         5        0.00           0
   191      8         6        0.00           0
   191      8         7        0.00           0
   191      8         8        0.00           0
   191      8         9        0.00           0
   191      8        10        0.00           0
   191      8        11        0.00           0
   191      8        12        0.00           0
   191      8        13        0.00           0
   191      8        14        0.00           0
   191      8        15        0.00           0
   191      9         1        0.00           0
   191      9         2        0.00           0
   191      9         3        0.00           0
   191      9         4        0.00           0
   191      9         5        0.00           0
   191      9         6        0.00           0
   191      9         7        0.00           0
   191      9         8        0.00           0
   191      9         9        0.00           0
   191      9        10        0.00           0
   191      9        11        0.00           0
   191      9        12        0.00           0
   191      9        13        0.00           0
   191      9        14        0.00           0
   191      9        15       22.02           2
   191     10         1       39.49           2
   191     10         2       31.91           1
   191     10         3       68.04           2
   191     10         4       39.49           2
   191     10         5       68.04           2
   191     10         6       68.04           2
   191     10         7       39.49           2
   191     10         8       68.04           2
   191     10         9       68.04           2
   191     10        10       68.04           2
   191     10        11       68.04           2
   191     10        12       26.42           1
   191     10        13       39.49           2
   191     10        14       39.49           2
   191     10        15       59.02           2
   191     11         1       63.41           2
   191     11         2       61.30           2
   191     11         3       55.07           2
   191     11         4       63.41           2
   191     11         5       55.07           2
   191     11         6       55.07           2
   191     11         7       63.41           2
   191     11         8       55.07           2
   191     11         9       55.07           2
   191     11        10       55.07           2
   191     11        11       55.07           2
   191     11        12       33.87           1
   191     11        13       63.41           2
   191     11        14       43.53           2
   191     11        15       46.28           2
   191     12         1       47.35           2
   191     12         2       45.69           2
   191     12         3       40.77           2
   191     12         4       47.35           2
   191     12         5       40.77           2
   191     12         6       40.77           2
   191     12         7       47.35           2
   191     12         8       40.77           2
   191     12         9       40.77           2
   191     12        10       40.77           2
   191     12        11       40.77           2
   191     12        12       63.41           2
   191     12        13       47.35           2
   191     12        14       53.58           2
   191     12        15       33.85           2
   194      1         1        0.00           0
   194      1         2        0.00           0
   194      1         3        0.00           0
   194      1         4        0.00           0
   194      1         5        0.00           0
   194      1         6        0.00           0
   194      1         7        0.00           0
   194      1         8        0.00           0
   194      1         9        0.00           0
   194      1        10        0.00           0
   194      1        11        0.00           0
   194      1        12        0.00           0
   194      1        13        0.00           0
   194      1        14        0.00           0
   194      1        15        0.00           0
   194      2         1        0.00           0
   194      2         2        0.00           0
   194      2         3        0.00           0
   194      2         4        0.00           0
   194      2         5        0.00           0
   194      2         6        0.00           0
   194      2         7        0.00           0
   194      2         8        0.00           0
   194      2         9        0.00           0
   194      2        10        0.00           0
   194      2        11        0.00           0
   194      2        12        0.00           0
   194      2        13        0.00           0
   194      2        14        0.00           0
   194      2        15        0.00           0
   194      3         1        0.00           0
   194      3         2        0.00           0
   194      3         3        0.00           0
   194      3         4        0.00           0
   194      3         5        0.00           0
   194      3         6        0.00           0
   194      3         7        0.00           0
   194      3         8        0.00           0
   194      3         9        0.00           0
   194      3        10        0.00           0
   194      3        11        0.00           0
   194      3        12        0.00           0
   194      3        13        0.00           0
   194      3        14        0.00           0
   194      3        15        0.00           0
   194      4         1        0.00           0
   194      4         2        0.00           0
   194      4         3        0.00           0
   194      4         4        0.00           0
   194      4         5        0.00           0
   194      4         6        0.00           0
   194      4         7        0.00           0
   194      4         8        0.00           0
   194      4         9        0.00           0
   194      4        10        0.00           0
   194      4        11        0.00           0
   194      4        12        0.00           0
   194      4        13        0.00           0
   194      4        14        0.00           0
   194      4        15        0.00           0
   194      5         1        0.00           0
   194      5         2        0.00           0
   194      5         3        0.00           0
   194      5         4        0.00           0
   194      5         5        0.00           0
   194      5         6        0.00           0
   194      5         7        0.00           0
   194      5         8        0.00           0
   194      5         9        0.00           0
   194      5        10        0.00           0
   194      5        11        0.00           0
   194      5        12        0.00           0
   194      5        13        0.00           0
   194      5        14        0.00           0
   194      5        15        0.00           0
   194      6         1        0.00           0
   194      6         2        0.00           0
   194      6         3        0.00           0
   194      6         4        0.00           0
   194      6         5        0.00           0
   194      6         6        0.00           0
   194      6         7        0.00           0
   194      6         8        0.00           0
   194      6         9        0.00           0
   194      6        10        0.00           0
   194      6        11        0.00           0
   194      6        12        0.00           0
   194      6        13        0.00           0
   194      6        14        0.00           0
   194      6        15        0.00           0
   194      7         1        0.00           0
   194      7         2        0.00           0
   194      7         3        0.00           0
   194      7         4        0.00           0
   194      7         5        0.00           0
   194      7         6        0.00           0
   194      7         7        0.00           0
   194      7         8        0.00           0
   194      7         9        0.00           0
   194      7        10        0.00           0
   194      7        11        0.00           0
   194      7        12        0.00           0
   194      7        13        0.00           0
   194      7        14        0.00           0
   194      7        15        0.00           0
   194      8         1        0.00           0
   194      8         2        0.00           0
   194      8         3        0.00           0
   194      8         4        0.00           0
   194      8         5        0.00           0
   194      8         6        0.00           0
   194      8         7        0.00           0
   194      8         8        0.00           0
   194      8         9        0.00           0
   194      8        10        0.00           0
   194      8        11        0.00           0
   194      8        12        0.00           0
   194      8        13        0.00           0
   194      8        14        0.00           0
   194      8        15        0.00           0
   194      9         1       68.07           2
   194      9         2       12.70           1
   194      9         3        0.00           0
   194      9         4       12.70           1
   194      9         5        0.00           0
   194      9         6       12.70           1
   194      9         7       68.07           2
   194      9         8       12.70           1
   194      9         9        0.00           0
   194      9        10        0.00           0
   194      9        11        0.00           0
   194      9        12        0.00           0
   194      9        13        0.00           0
   194      9        14        0.00           0
   194      9        15       12.70           1
   194     10         1       58.47           2
   194     10         2       73.86           2
   194     10         3       78.41           2
   194     10         4       73.86           2
   194     10         5       78.41           2
   194     10         6       74.18           2
   194     10         7       58.47           2
   194     10         8       73.86           2
   194     10         9       78.41           2
   194     10        10       78.41           2
   194     10        11       78.41           2
   194     10        12       78.41           2
   194     10        13       78.41           2
   194     10        14       78.41           2
   194     10        15       74.18           2
   194     11         1       47.04           2
   194     11         2       63.41           2
   194     11         3       67.55           2
   194     11         4       63.41           2
   194     11         5       67.55           2
   194     11         6       63.31           2
   194     11         7       47.04           2
   194     11         8       63.41           2
   194     11         9       67.55           2
   194     11        10       67.55           2
   194     11        11       46.37           2
   194     11        12       67.55           2
   194     11        13       67.55           2
   194     11        14       46.37           2
   194     11        15       63.31           2
   194     12         1       35.22           2
   194     12         2       48.12           2
   194     12         3       52.88           2
   194     12         4       48.12           2
   194     12         5       52.88           2
   194     12         6       48.05           2
   194     12         7       35.22           2
   194     12         8       48.12           2
   194     12         9       52.88           2
   194     12        10       52.88           2
   194     12        11       59.11           2
   194     12        12       52.88           2
   194     12        13       52.88           2
   194     12        14       59.11           2
   194     12        15       48.05           2
   197      1         1        0.00           0
   197      1         2        0.00           0
   197      1         3        0.00           0
   197      1         4        0.00           0
   197      1         5        0.00           0
   197      1         6        0.00           0
   197      1         7        0.00           0
   197      1         8        0.00           0
   197      1         9        0.00           0
   197      1        10        0.00           0
   197      1        11        0.00           0
   197      1        12        0.00           0
   197      1        13        0.00           0
   197      1        14        0.00           0
   197      1        15        0.00           0
   197      2         1        0.00           0
   197      2         2        0.00           0
   197      2         3        0.00           0
   197      2         4        0.00           0
   197      2         5        0.00           0
   197      2         6        0.00           0
   197      2         7        0.00           0
   197      2         8        0.00           0
   197      2         9        0.00           0
   197      2        10        0.00           0
   197      2        11        0.00           0
   197      2        12        0.00           0
   197      2        13        0.00           0
   197      2        14        0.00           0
   197      2        15        0.00           0
   197      3         1        0.00           0
   197      3         2        0.00           0
   197      3         3        0.00           0
   197      3         4        0.00           0
   197      3         5        0.00           0
   197      3         6        0.00           0
   197      3         7        0.00           0
   197      3         8        0.00           0
   197      3         9        0.00           0
   197      3        10        0.00           0
   197      3        11        0.00           0
   197      3        12        0.00           0
   197      3        13        0.00           0
   197      3        14        0.00           0
   197      3        15        0.00           0
   197      4         1        0.00           0
   197      4         2        0.00           0
   197      4         3        0.00           0
   197      4         4        0.00           0
   197      4         5        0.00           0
   197      4         6        0.00           0
   197      4         7        0.00           0
   197      4         8        0.00           0
   197      4         9        0.00           0
   197      4        10        0.00           0
   197      4        11        0.00           0
   197      4        12        0.00           0
   197      4        13        0.00           0
   197      4        14        0.00           0
   197      4        15        0.00           0
   197      5         1        0.00           0
   197      5         2        0.00           0
   197      5         3        0.00           0
   197      5         4        0.00           0
   197      5         5        0.00           0
   197      5         6        0.00           0
   197      5         7        0.00           0
   197      5         8        4.88           1
   197      5         9        0.00           0
   197      5        10        0.00           0
   197      5        11        0.00           0
   197      5        12        0.00           0
   197      5        13        0.00           0
   197      5        14        0.00           0
   197      5        15        0.00           0
   197      6         1        0.00           0
   197      6         2        0.00           0
   197      6         3        0.00           0
   197      6         4        0.00           0
   197      6         5        0.00           0
   197      6         6        0.00           0
   197      6         7        0.00           0
   197      6         8        0.00           0
   197      6         9        0.00           0
   197      6        10        0.00           0
   197      6        11        0.00           0
   197      6        12        0.00           0
   197      6        13        0.00           0
   197      6        14        0.00           0
   197      6        15        0.00           0
   197      7         1        0.00           0
   197      7         2        0.00           0
   197      7         3       -0.00           0
   197      7         4        0.00           0
   197      7         5        0.00           0
   197      7         6        0.00           0
   197      7         7        0.00           0
   197      7         8        0.00           0
   197      7         9        0.00           0
   197      7        10        0.00           0
   197      7        11        0.00           0
